month,Chain_name,stickness_ratio
2021-05-01,eth_mainnet,0.05482164169836382
2021-06-01,arbitrum_mainnet,0
2021-06-01,eth_mainnet,0.06217146122617436
2021-07-01,arbitrum_mainnet,0
2021-07-01,eth_mainnet,0.06583796469050823
2021-08-01,arbitrum_mainnet,0
2021-08-01,eth_mainnet,0.06490080497431824
2021-09-01,arbitrum_mainnet,0
2021-09-01,eth_mainnet,0.06441771372992715
2021-10-01,arbitrum_mainnet,0.04112047753534476
2021-10-01,eth_mainnet,0.0613895569018055
2021-11-01,arbitrum_mainnet,0.04482374041084535
2021-11-01,eth_mainnet,0.06092636295771645
2021-11-01,optimism_mainnet,0.07702786377708978
2021-12-01,arbitrum_mainnet,0.045895915918100154
2021-12-01,eth_mainnet,0.06092263436027689
2021-12-01,matic_mainnet,0.11911076711386309
2021-12-01,optimism_mainnet,0.04116551274488497
2022-01-01,arbitrum_mainnet,0.05727321333095705
2022-01-01,eth_mainnet,0.06325176756298523
2022-01-01,matic_mainnet,0.06647621588374351
2022-01-01,optimism_mainnet,0.051969943893609344
2022-02-01,arbitrum_mainnet,0.06342518858723162
2022-02-01,eth_mainnet,0.06649363463464199
2022-02-01,matic_mainnet,0.0796765495280743
2022-02-01,optimism_mainnet,0.07310642377756471
2022-03-01,arbitrum_mainnet,0.05179566108281239
2022-03-01,eth_mainnet,0.062481574647378135
2022-03-01,matic_mainnet,0.06769839504827069
2022-03-01,optimism_mainnet,0.08753800781875129
2022-04-01,arbitrum_mainnet,0.047199911064172755
2022-04-01,eth_mainnet,0.06451733499228209
2022-04-01,matic_mainnet,0.06668345812812701
2022-04-01,optimism_mainnet,0.07809999359836119
2022-05-01,arbitrum_mainnet,0.050606729660866503
2022-05-01,eth_mainnet,0.06081496278614406
2022-05-01,matic_mainnet,0.07212236267847906
2022-05-01,optimism_mainnet,0.04846852489821484
2022-06-01,arbitrum_mainnet,0.05300720314640506
2022-06-01,eth_mainnet,0.06551035054851849
2022-06-01,matic_mainnet,0.07068747836357342
2022-06-01,optimism_mainnet,0.04836327036234128
2022-07-01,arbitrum_mainnet,0.05348991897946559
2022-07-01,eth_mainnet,0.0640535022103182
2022-07-01,matic_mainnet,0.07931834368745289
2022-07-01,optimism_mainnet,0.057982642868839036
2022-08-01,arbitrum_mainnet,0.05817680519165582
2022-08-01,eth_mainnet,0.06606612906945687
2022-08-01,matic_mainnet,0.07832581384101892
2022-08-01,optimism_mainnet,0.07244871822566758
2022-09-01,arbitrum_mainnet,0.07083329720731421
2022-09-01,eth_mainnet,0.06816039575790116
2022-09-01,matic_mainnet,0.07773506609177952
2022-09-01,optimism_mainnet,0.06351034063260341
2022-10-01,arbitrum_mainnet,0.06561008439026116
2022-10-01,eth_mainnet,0.06268897413809617
2022-10-01,matic_mainnet,0.07599150579166641
2022-10-01,optimism_mainnet,0.06820888255342614
2022-11-01,arbitrum_mainnet,0.07296346321363205
2022-11-01,eth_mainnet,0.06424838655352982
2022-11-01,matic_mainnet,0.07989761745587852
2022-11-01,optimism_mainnet,0.062282934073839155
2022-12-01,arbitrum_mainnet,0.06784889747455711
2022-12-01,eth_mainnet,0.06272966646212187
2022-12-01,matic_mainnet,0.08275100983745966
2022-12-01,optimism_mainnet,0.0538971942230722
