Month,Chain_name,Swap_Count,Traders,MoM_Growth_Traders
2021-05-01,eth_mainnet,669886,271468,
2021-06-01,arbitrum_mainnet,9,2,0
2021-06-01,eth_mainnet,942817,251987,-0.07176168093476942
2021-07-01,arbitrum_mainnet,2,2,0
2021-07-01,eth_mainnet,1133240,270323,0.07276565854587735
2021-08-01,arbitrum_mainnet,35,19,0
2021-08-01,eth_mainnet,978075,250567,-0.07308294151810979
2021-09-01,arbitrum_mainnet,171491,63939,0
2021-09-01,eth_mainnet,840269,218309,-0.12874001763999254
2021-10-01,arbitrum_mainnet,103778,34597,-0.4589061449193763
2021-10-01,eth_mainnet,911400,273091,0.25093789078782835
2021-11-01,arbitrum_mainnet,85585,22117,-0.36072491834552134
2021-11-01,eth_mainnet,1097907,348733,0.27698459487863025
2021-11-01,optimism_mainnet,6028,475,
2021-12-01,arbitrum_mainnet,89555,18627,-0.1577971695980468
2021-12-01,eth_mainnet,1035161,304834,-0.12588140497171185
2021-12-01,matic_mainnet,354553,96900,
2021-12-01,optimism_mainnet,45785,10390,20.873684210526317
2022-01-01,arbitrum_mainnet,99307,13575,-0.2712191979384764
2022-01-01,eth_mainnet,873601,251791,-0.17400618041294602
2022-01-01,matic_mainnet,998336,148002,0.5273684210526315
2022-01-01,optimism_mainnet,175857,5186,-0.5008662175168431
2022-02-01,arbitrum_mainnet,95411,11571,-0.14762430939226523
2022-02-01,eth_mainnet,726021,213847,-0.15069641091222485
2022-02-01,matic_mainnet,1157830,159892,0.08033675220605119
2022-02-01,optimism_mainnet,340336,3278,-0.3679136135750096
2022-03-01,arbitrum_mainnet,143768,17333,0.4979690605824907
2022-03-01,eth_mainnet,946058,252873,0.1824949613508724
2022-03-01,matic_mainnet,1092526,154769,-0.03204037725464692
2022-03-01,optimism_mainnet,623147,2822,-0.13910921293471634
2022-04-01,arbitrum_mainnet,177654,35981,1.075866843593146
2022-04-01,eth_mainnet,860633,228257,-0.09734530772363992
2022-04-01,matic_mainnet,1274424,204469,0.3211237392501083
2022-04-01,optimism_mainnet,728363,5207,0.8451452870304748
2022-05-01,arbitrum_mainnet,291660,64505,0.7927517300797644
2022-05-01,eth_mainnet,945231,220166,-0.03544688662341133
2022-05-01,matic_mainnet,1869099,192690,-0.057607754720764515
2022-05-01,optimism_mainnet,1101407,18025,2.4616861916650663
2022-06-01,arbitrum_mainnet,308131,67887,0.05243004418262154
2022-06-01,eth_mainnet,892875,178815,-0.1878173741631315
2022-06-01,matic_mainnet,1933423,196428,0.019399034718978747
2022-06-01,optimism_mainnet,931181,64580,2.5828016643550624
2022-07-01,arbitrum_mainnet,284975,42968,-0.3670658594428977
2022-07-01,eth_mainnet,939642,180247,0.008008276710566697
2022-07-01,matic_mainnet,1950190,155125,-0.21027042987761424
2022-07-01,optimism_mainnet,795567,25610,-0.6034375967791886
2022-08-01,arbitrum_mainnet,488386,73428,0.708899646248371
2022-08-01,eth_mainnet,1066918,216795,0.2027662041531897
2022-08-01,matic_mainnet,1723195,170689,0.10033199033037876
2022-08-01,optimism_mainnet,975305,41812,0.6326434986333465
2022-09-01,arbitrum_mainnet,1037121,115337,0.5707495778177263
2022-09-01,eth_mainnet,1113264,217911,0.005147720196498895
2022-09-01,matic_mainnet,2121969,164670,-0.03526296363561798
2022-09-01,optimism_mainnet,1065482,54800,0.3106285276953984
2022-10-01,arbitrum_mainnet,1523585,158702,0.37598515654126596
2022-10-01,eth_mainnet,1015241,230713,0.05874875522575729
2022-10-01,matic_mainnet,1883366,155081,-0.05823161474464078
2022-10-01,optimism_mainnet,829175,76986,0.4048540145985402
2022-11-01,arbitrum_mainnet,1829714,204342,0.2875830172272562
2022-11-01,eth_mainnet,1266553,251377,0.08956582420583148
2022-11-01,matic_mainnet,2964813,212406,0.3696455400726073
2022-11-01,optimism_mainnet,1397218,129281,0.6792793494921154
2022-12-01,arbitrum_mainnet,1107243,169792,-0.1690792886435486
2022-12-01,eth_mainnet,813418,205334,-0.18316313743898605
2022-12-01,matic_mainnet,1450938,172470,-0.18801728764724157
2022-12-01,optimism_mainnet,1170620,197129,0.5248102969500545
